timestamp,hour,day_of_week,motion,door,user_home,location,is_night,activity,stream_score,stream_risk
2026-01-01 00:00,0,4,0,0,1,0,1,0,1.0,Dangerous
2026-01-01 00:00,0,4,0,1,1,0,1,1,1.0,Dangerous
2026-01-01 01:00,1,4,1,0,0,0,1,1,1.0,Dangerous
2026-01-01 01:00,1,4,0,0,1,1,1,0,1.0,Dangerous
2026-01-01 01:00,1,4,0,0,1,0,1,0,1.0,Dangerous
2026-01-01 01:00,1,4,0,0,1,3,1,0,1.0,Dangerous
2026-01-01 02:00,2,4,0,0,1,3,1,0,1.0,Dangerous
2026-01-01 02:00,2,4,1,0,1,0,1,1,1.0,Dangerous
2026-01-01 02:00,2,4,0,0,1,3,1,0,1.0,Dangerous
2026-01-01 02:00,2,4,0,0,1,2,1,0,1.0,Dangerous
2026-01-01 03:00,3,4,1,0,1,0,1,1,1.0,Dangerous
2026-01-01 03:00,3,4,0,0,1,3,1,0,1.0,Dangerous
2026-01-01 05:00,5,4,0,0,1,3,0,0,1.0,Dangerous
2026-01-01 05:00,5,4,0,0,1,2,0,0,1.0,Dangerous
2026-01-01 07:00,7,4,1,0,1,2,0,1,1.0,Dangerous
2026-01-01 07:00,7,4,1,0,1,1,0,1,1.0,Dangerous
2026-01-01 07:00,7,4,1,0,1,1,0,1,1.0,Dangerous
2026-01-01 08:00,8,4,1,0,1,2,0,1,1.0,Dangerous
2026-01-01 08:00,8,4,1,0,1,1,0,1,1.0,Dangerous
2026-01-01 09:00,9,4,0,0,0,1,0,0,1.0,Dangerous
2026-01-01 09:00,9,4,0,0,0,2,0,0,1.0,Dangerous
2026-01-01 09:00,9,4,0,0,0,0,0,0,1.0,Dangerous
2026-01-01 10:00,10,4,0,0,0,1,0,0,1.0,Dangerous
2026-01-01 11:00,11,4,0,0,0,1,0,0,1.0,Dangerous
2026-01-01 11:00,11,4,0,0,0,1,0,0,1.0,Dangerous
2026-01-01 11:00,11,4,1,0,0,2,0,1,1.0,Dangerous
2026-01-01 11:00,11,4,0,0,0,0,0,0,1.0,Dangerous
2026-01-01 12:00,12,4,0,0,0,0,0,0,1.0,Dangerous
2026-01-01 12:00,12,4,0,0,0,0,0,0,1.0,Dangerous
2026-01-01 14:00,14,4,0,0,0,0,0,0,1.0,Dangerous
2026-01-01 15:00,15,4,0,0,0,3,0,0,1.0,Dangerous
2026-01-01 16:00,16,4,0,0,0,0,0,0,1.0,Dangerous
2026-01-01 18:00,18,4,1,0,1,1,0,1,1.0,Dangerous
2026-01-01 21:00,21,4,1,0,1,0,0,1,1.0,Dangerous
2026-01-01 21:00,21,4,0,0,1,0,0,0,1.0,Dangerous
2026-01-01 21:00,21,4,0,0,1,2,0,0,1.0,Dangerous
2026-01-01 02:00,2,4,1,1,0,0,1,2,1.0,Dangerous
2026-01-01 22:00,22,4,0,0,1,3,0,0,1.0,Dangerous
2026-01-01 22:00,22,4,1,0,1,0,0,1,1.0,Dangerous
2026-01-01 22:00,22,4,0,0,1,3,0,0,1.0,Dangerous
2026-01-02 01:00,1,5,0,0,1,2,1,0,1.0,Dangerous
2026-01-02 01:00,1,5,0,0,1,3,1,0,1.0,Dangerous
2026-01-02 01:00,1,5,0,0,1,2,1,0,1.0,Dangerous
2026-01-02 01:00,1,5,0,0,1,1,1,0,1.0,Dangerous
2026-01-02 03:00,3,5,0,0,1,2,1,0,1.0,Dangerous
2026-01-02 07:00,7,5,1,0,1,2,0,1,1.0,Dangerous
2026-01-02 08:00,8,5,1,0,1,2,0,1,1.0,Dangerous
2026-01-02 08:00,8,5,0,0,1,2,0,0,1.0,Dangerous
2026-01-02 08:00,8,5,1,0,1,2,0,1,1.0,Dangerous
2026-01-02 08:00,8,5,1,0,1,2,0,1,1.0,Dangerous
2026-01-02 08:00,8,5,1,1,1,2,0,2,1.0,Dangerous
2026-01-02 09:00,9,5,0,0,0,1,0,0,1.0,Dangerous
2026-01-02 10:00,10,5,0,0,0,3,0,0,1.0,Dangerous
2026-01-02 11:00,11,5,0,0,0,1,0,0,1.0,Dangerous
2026-01-02 11:00,11,5,0,0,0,0,0,0,1.0,Dangerous
2026-01-02 12:00,12,5,0,0,0,1,0,0,1.0,Dangerous
2026-01-02 12:00,12,5,0,0,0,2,0,0,1.0,Dangerous
2026-01-02 12:00,12,5,0,0,0,0,0,0,1.0,Dangerous
2026-01-02 13:00,13,5,0,0,0,2,0,0,1.0,Dangerous
2026-01-02 13:00,13,5,0,0,0,0,0,0,1.0,Dangerous
2026-01-02 13:00,13,5,0,0,0,0,0,0,1.0,Dangerous
2026-01-02 13:00,13,5,0,0,0,1,0,0,1.0,Dangerous
2026-01-02 14:00,14,5,0,0,0,1,0,0,1.0,Dangerous
2026-01-02 14:00,14,5,0,0,0,0,0,0,1.0,Dangerous
2026-01-02 15:00,15,5,0,0,0,2,0,0,1.0,Dangerous
2026-01-02 17:00,17,5,0,1,0,0,0,1,1.0,Dangerous
2026-01-02 17:00,17,5,0,0,0,3,0,0,1.0,Dangerous
2026-01-02 17:00,17,5,0,0,0,2,0,0,1.0,Dangerous
2026-01-02 17:00,17,5,0,0,0,3,0,0,1.0,Dangerous
2026-01-02 17:00,17,5,0,0,0,1,0,0,1.0,Dangerous
2026-01-02 18:00,18,5,0,0,1,3,0,0,1.0,Dangerous
2026-01-02 18:00,18,5,1,0,1,1,0,1,1.0,Dangerous
2026-01-02 18:00,18,5,1,0,1,2,0,1,1.0,Dangerous
2026-01-02 19:00,19,5,1,0,1,2,0,1,1.0,Dangerous
2026-01-02 19:00,19,5,1,0,1,0,0,1,1.0,Dangerous
2026-01-02 02:00,2,5,1,1,0,0,1,2,1.0,Dangerous
2026-01-02 21:00,21,5,1,0,1,2,0,1,1.0,Dangerous
2026-01-02 22:00,22,5,0,0,1,1,0,0,1.0,Dangerous
2026-01-02 22:00,22,5,1,0,1,0,0,1,1.0,Dangerous
2026-01-02 22:00,22,5,1,0,1,0,0,1,1.0,Dangerous
2026-01-02 23:00,23,5,1,0,1,0,0,1,1.0,Dangerous
2026-01-02 23:00,23,5,0,0,1,1,0,0,1.0,Dangerous
2026-01-02 23:00,23,5,0,0,1,0,0,0,1.0,Dangerous
2026-01-02 23:00,23,5,1,0,1,0,0,1,1.0,Dangerous
2026-01-03 00:00,0,6,0,0,1,0,1,0,1.0,Dangerous
2026-01-03 00:00,0,6,0,0,1,2,1,0,1.0,Dangerous
2026-01-03 01:00,1,6,0,0,1,1,1,0,1.0,Dangerous
2026-01-03 01:00,1,6,0,0,1,1,1,0,1.0,Dangerous
2026-01-03 02:00,2,6,0,0,1,0,1,0,1.0,Dangerous
2026-01-03 03:00,3,6,0,0,1,0,1,0,1.0,Dangerous
2026-01-03 03:00,3,6,0,0,1,0,1,0,1.0,Dangerous
2026-01-03 04:00,4,6,0,0,0,3,1,0,1.0,Dangerous
2026-01-03 04:00,4,6,0,0,0,1,1,0,1.0,Dangerous
2026-01-03 04:00,4,6,0,0,0,3,1,0,1.0,Dangerous
2026-01-03 04:00,4,6,0,0,0,0,1,0,1.0,Dangerous
2026-01-03 04:00,4,6,0,0,0,3,1,0,1.0,Dangerous
2026-01-03 05:00,5,6,1,0,1,0,0,1,1.0,Dangerous
2026-01-03 05:00,5,6,0,0,1,3,0,0,1.0,Dangerous
2026-01-03 05:00,5,6,0,0,1,2,0,0,1.0,Dangerous
2026-01-03 07:00,7,6,1,0,1,1,0,1,1.0,Dangerous
2026-01-03 07:00,7,6,1,0,1,1,0,1,1.0,Dangerous
2026-01-03 07:00,7,6,1,1,1,2,0,2,1.0,Dangerous
2026-01-03 07:00,7,6,1,0,1,2,0,1,1.0,Dangerous
2026-01-03 07:00,7,6,1,0,1,1,0,1,1.0,Dangerous
2026-01-03 08:00,8,6,1,1,1,1,0,2,1.0,Dangerous
2026-01-03 08:00,8,6,1,1,1,1,0,2,1.0,Dangerous
2026-01-03 09:00,9,6,1,0,1,2,0,1,1.0,Dangerous
2026-01-03 09:00,9,6,1,0,1,2,0,1,1.0,Dangerous
2026-01-03 10:00,10,6,0,0,0,1,0,0,1.0,Dangerous
2026-01-03 11:00,11,6,1,0,1,2,0,1,1.0,Dangerous
2026-01-03 12:00,12,6,1,0,1,1,0,1,1.0,Dangerous
2026-01-03 12:00,12,6,0,1,1,2,0,1,1.0,Dangerous
2026-01-03 12:00,12,6,0,0,1,3,0,0,1.0,Dangerous
2026-01-03 13:00,13,6,0,0,1,3,0,0,1.0,Dangerous
2026-01-03 13:00,13,6,0,1,1,3,0,1,1.0,Dangerous
2026-01-03 13:00,13,6,0,0,1,3,0,0,1.0,Dangerous
2026-01-03 13:00,13,6,0,0,1,2,0,0,1.0,Dangerous
2026-01-03 13:00,13,6,0,0,1,1,0,0,1.0,Dangerous
2026-01-03 14:00,14,6,0,0,0,0,0,0,1.0,Dangerous
2026-01-03 14:00,14,6,0,0,0,0,0,0,1.0,Dangerous
2026-01-03 15:00,15,6,0,1,1,0,0,1,1.0,Dangerous
2026-01-03 15:00,15,6,0,0,1,1,0,0,1.0,Dangerous
2026-01-03 16:00,16,6,0,0,1,0,0,0,1.0,Dangerous
2026-01-03 18:00,18,6,1,1,1,1,0,2,1.0,Dangerous
2026-01-03 19:00,19,6,1,0,1,2,0,1,1.0,Dangerous
2026-01-03 19:00,19,6,1,0,1,1,0,1,1.0,Dangerous
2026-01-03 19:00,19,6,1,0,1,1,0,1,1.0,Dangerous
2026-01-03 19:00,19,6,1,0,1,2,0,1,1.0,Dangerous
2026-01-03 19:00,19,6,1,0,1,3,0,1,1.0,Dangerous
2026-01-03 20:00,20,6,0,0,0,1,0,0,1.0,Dangerous
2026-01-03 20:00,20,6,1,0,0,3,0,1,1.0,Dangerous
2026-01-03 21:00,21,6,1,0,1,2,0,1,1.0,Dangerous
2026-01-03 21:00,21,6,1,0,1,3,0,1,1.0,Dangerous
2026-01-03 22:00,22,6,1,0,1,0,0,1,1.0,Dangerous
2026-01-03 22:00,22,6,1,1,1,0,0,2,1.0,Dangerous
2026-01-03 23:00,23,6,0,0,1,0,0,0,1.0,Dangerous
2026-01-03 23:00,23,6,0,0,1,0,0,0,1.0,Dangerous
2026-01-04 00:00,0,7,1,0,1,0,1,1,1.0,Dangerous
2026-01-04 01:00,1,7,0,0,1,2,1,0,1.0,Dangerous
2026-01-04 01:00,1,7,0,0,1,2,1,0,1.0,Dangerous
2026-01-04 01:00,1,7,0,0,1,1,1,0,1.0,Dangerous
2026-01-04 01:00,1,7,0,0,1,3,1,0,1.0,Dangerous
2026-01-04 02:00,2,7,0,0,1,1,1,0,1.0,Dangerous
2026-01-04 02:00,2,7,0,0,1,0,1,0,1.0,Dangerous
2026-01-04 03:00,3,7,0,0,1,1,1,0,1.0,Dangerous
2026-01-04 03:00,3,7,0,0,1,2,1,0,1.0,Dangerous
2026-01-04 03:00,3,7,0,0,1,0,1,0,1.0,Dangerous
2026-01-04 03:00,3,7,0,0,1,1,1,0,1.0,Dangerous
2026-01-04 01:00,1,7,1,0,0,0,1,1,1.0,Dangerous
2026-01-04 04:00,4,7,0,0,1,0,1,0,1.0,Dangerous
2026-01-04 05:00,5,7,1,0,1,0,0,1,1.0,Dangerous
2026-01-04 06:00,6,7,1,0,1,2,0,1,1.0,Dangerous
2026-01-04 06:00,6,7,1,0,1,1,0,1,1.0,Dangerous
2026-01-04 08:00,8,7,1,0,1,1,0,1,1.0,Dangerous
2026-01-04 08:00,8,7,1,0,1,2,0,1,1.0,Dangerous
2026-01-04 09:00,9,7,1,0,1,2,0,1,1.0,Dangerous
2026-01-04 09:00,9,7,1,0,1,1,0,1,1.0,Dangerous
2026-01-04 01:00,1,7,1,0,0,0,1,1,1.0,Dangerous
